Item ID                                            Display Name                           Old  -> New 
------------------------------------------------------------------------------------------------------

/* === Uncategorized === */
Base.AnimalBone                                    Animal Bone                            0.45 -> 0.30
Base.BoneClub                                      Bone Club                              0.50 -> 0.35
Base.BoneClub_Spiked                               Bone Club with Spikes                  0.50 -> 0.40
Base.LargeBoneClub                                 Sturdy Bone Club                       1.00 -> 0.50
Base.LargeBoneClub_Spiked                          Sturdy Bone Club with Spikes           1.00 -> 0.55
Base.Bag_AmmoBox                                   Ammunition Box                         1.0  -> 0.80
Base.Bag_AmmoBox_308                               Ammunition Box                         1.0  -> 0.80
Base.Bag_AmmoBox_38                                Ammunition Box                         1.0  -> 0.80
Base.Bag_AmmoBox_44                                Ammunition Box                         1.0  -> 0.80
Base.Bag_AmmoBox_45                                Ammunition Box                         1.0  -> 0.80
Base.Bag_AmmoBox_9mm                               Ammunition Box                         1.0  -> 0.80
Base.Bag_AmmoBox_Hunting                           Ammunition Box                         1.0  -> 0.80
Base.Bag_AmmoBox_Mixed                             Ammunition Box                         1.0  -> 0.80
Base.Bag_AmmoBox_ShotgunShells                     Ammunition Box                         1.0  -> 0.80
Base.Bag_RifleCaseCloth                            Cloth Gun Case                         1.0  -> 0.60
Base.Bag_RifleCaseCloth2                           Cloth Gun Case                         1.0  -> 0.60
Base.Bag_RifleCaseClothCamo                        Cloth Gun Case                         1.0  -> 0.60
Base.Bag_ShotgunCaseCloth                          Cloth Gun Case                         1.0  -> 0.60
Base.Bag_ShotgunCaseCloth2                         Cloth Gun Case                         1.0  -> 0.60
Base.RevolverCase1                                 Handgun Case                           0.5  -> 0.30
Base.RevolverCase2                                 Handgun Case                           0.5  -> 0.30
Base.RevolverCase3                                 Handgun Case                           0.5  -> 0.30
Base.PistolCase1                                   Handgun Case                           0.5  -> 0.30
Base.PistolCase2                                   Handgun Case                           0.5  -> 0.30
Base.PistolCase3                                   Handgun Case                           0.5  -> 0.30
Base.Bag_ProtectiveCase                            Protective Case                        1.0  -> 0.80
Base.Bag_ProtectiveCase_Survivalist                Protective Case                        1.0  -> 0.80
Base.Bag_ProtectiveCase_Tools                      Protective Case                        1.0  -> 0.80
Base.Bag_ProtectiveCaseSmall                       Small Protective Case                  1.0  -> 0.80
Base.Bag_ProtectiveCaseSmall_Armorer               Small Protective Case                  1.0  -> 0.80
Base.Bag_ProtectiveCaseSmall_Electronics           Small Protective Case                  1.0  -> 0.80
Base.Bag_ProtectiveCaseSmall_FirstAid              Small Protective Case                  1.0  -> 0.80
Base.Bag_ProtectiveCaseSmall_KeyCutting            Small Protective Case                  1.0  -> 0.80
Base.Bag_ProtectiveCaseSmall_Pistol1               Small Protective Case                  1.0  -> 0.80
Base.Bag_ProtectiveCaseSmall_Pistol2               Small Protective Case                  1.0  -> 0.80
Base.Bag_ProtectiveCaseSmall_Pistol3               Small Protective Case                  1.0  -> 0.80
Base.Bag_ProtectiveCaseSmall_Revolver1             Small Protective Case                  1.0  -> 0.80
Base.Bag_ProtectiveCaseSmall_Revolver2             Small Protective Case                  1.0  -> 0.80
Base.Bag_ProtectiveCaseSmall_Revolver3             Small Protective Case                  1.0  -> 0.80
